"name_point","latitude","longitude","city","region","is_pause","distance_from_cremlin","tz_from_moscow","link_point"
Оренбург Набережная,"51.753854","55.106746",Оренбург,Оренбургская,true,1232.4564330250068,2,https://5verst.ru/orenburgnaberezhnaya/
Владимир Центральный парк,"56.1424","40.41543",Владимир,Владимирская,false,180.22705691374827,0,https://5verst.ru/vladimircentralpark/
Боровичи,"58.384172","33.919108",Боровичи,Новгородская,false,368.9213964332699,0,https://5verst.ru/park30letiyaoktyabrya/
Оренбург Берёзка,"51.819766","55.153481",Оренбург,Оренбургская,false,1231.8818858636575,2,https://5verst.ru/orenburgberezka/
Жуковский,"55.57957","38.12068",Жуковский,Московская,false,37.14376471431577,0,https://5verst.ru/zhukovsky/
Иннополис,"55.74592","48.74373",Иннополис,Татарстан,false,698.0562278335971,0,https://5verst.ru/innopolis/
Мариуполь,"47.085352","37.524845",Мариуполь,Донецкая,false,964.2577740717533,0,https://5verst.ru/mariupolprimorskiy/
Мещерский,"55.667123","37.404714",Одинцово,Московская,false,16.292621133116814,0,https://5verst.ru/meshchersky/
Михалково,"55.8432","37.516823",Москва,Москва,false,11.875701868026725,0,https://5verst.ru/mikhalkovo/
Ульяновск,"54.286343","48.308118",Ульяновск,Ульяновская,false,702.3506366361282,1,https://5verst.ru/ulyanovskmolodezhnyy/
Швейцария,"56.277709","43.977749",Нижний Новгород,Нижегородская,false,400.94042878866907,0,https://5verst.ru/shveytsariya/
Лебединый Рай,"55.319523","42.183718",Выкса,Нижегородская,false,292.362674246125,0,https://5verst.ru/lebedinyray/
Городской парк Семья,"55.643956","51.81936",Нижнекамск,Татарстан,false,891.6259621031303,0,https://5verst.ru/gorodskoyparksemya/
Мещерское озеро,"56.337302","43.950838",Нижний Новгород,Нижегородская,false,400.0053991776251,0,https://5verst.ru/meshcherskoeozero/
Солнечный остров,"45.010206","39.054746",Краснодар,Краснодарский,false,1199.2017450160884,0,https://5verst.ru/solnechnyostrov/
Челябинск Экопарк,"55.196769","61.296591",Челябинск,Челябинская,false,1491.4838568563346,2,https://5verst.ru/chelyabinskekopark/
Волгоград панорама,"48.713811","44.533076",Волгоград,Волгоградская,false,913.7055613962891,0,https://5verst.ru/volgogradpanorama/
Раменское Городской парк,"55.575024","38.225799",Раменское,Московская,false,43.171905381196225,0,https://5verst.ru/ramenskoegorodskoypark/
Стрежевой Городской парк,"60.724245","77.603575",Стрежевой,Томская,false,2373.1316760575974,4,https://5verst.ru/strezhevoygorodskoypark/
Пур-Наволок,"64.538434","40.508497",Архангельск,Архангельская,false,991.750994134594,0,https://5verst.ru/purnavolok/
Парк 30-летия Победы,"57.686885","39.781733",Ярославль,Ярославская,false,252.95968904592772,0,https://5verst.ru/park30letiyapobedy/
Мега Парк Кудрово,"59.89622","30.514137",Кудрово,Ленинградская,false,624.7068996080933,0,https://5verst.ru/megaparkkudrovo/
Орск парк Строителей,"51.225741","58.530185",Орск,Оренбургская,false,1469.914450868384,2,https://5verst.ru/orskparkstroiteley/
Парк Кирова,"56.861072","53.175733",Ижевск,Удмуртская,false,968.869643119712,1,https://5verst.ru/parkkirova/
Фили,"55.750373","37.489733",Москва,Москва,false,7.906165790571163,0,https://5verst.ru/fili/
Парк Лесоводов,"54.730548","56.011319",Уфа,Башкортостан,false,1172.1587754523234,2,https://5verst.ru/parklesovodov/
Тула Центральный парк,"54.177992","37.59299",Тула,Тульская,false,175.25132334195288,0,https://5verst.ru/tulacentral/
Южно-Сахалинск парк Гагарина,"46.965588","142.751079",Южно-Сахалинск,Сахалинская,false,6663.2134228454415,8,https://5verst.ru/yuzhnosakhalinskgagarina/
Сибай,"52.72795","58.66524",Сибай,Башкортостан,false,1407.0696955274775,2,https://5verst.ru/terrazauralye/
Тында,"55.14706","124.737087",Тында,Амурская,false,5133.848344281862,6,https://5verst.ru/tynda/
Ессентуки Городское озеро,"44.02243","42.83476",Ессентуки,Ставропольский,false,1356.5291149668249,0,https://5verst.ru/gorodskoeozero/
Чебоксары набережная,"56.153447","47.249591",Чебоксары,Чувашская республика,false,602.9843188734101,0,https://5verst.ru/cheboksarynaberezhnaya/
Чертаново Покровский парк,"55.604013","37.624088",Москва,Москва,true,16.507181581649977,0,https://5verst.ru/chertanovopokrovskypark/
Соликамск Калинников-парк,"59.69542","56.7172",Соликамск,Пермский,false,1214.6911341986295,2,https://5verst.ru/kalinnikovpark/
Пятигорск Комсомольский парк,"44.05794","43.06052",Пятигорск,Ставропольский,false,1357.1993625534278,0,https://5verst.ru/pyatigorskkomsomolsky/
Чертаново Кировоградские пруды,"55.60567","37.59576",Москва,Москва,false,16.36173507107011,0,https://5verst.ru/kirovogradskieprudy/
Зеленоград,"56.004774","37.218424",Москва,Москва,false,37.53344469197889,0,https://5verst.ru/zelenograd/
Крылатское,"55.772757","37.408767",Москва,Москва,false,13.184098115153695,0,https://5verst.ru/krylatskoe/
Михайловка,"50.08285","43.23219",Михайловка,Волгоградская,false,734.83268185301,0,https://5verst.ru/parksmekhova/
Пестовский,"55.747383","38.039613",Балашиха,Московская,false,26.631368974161802,0,https://5verst.ru/pestovsky/
Притяжение,"53.374077","58.955555",Магнитогорск,Челябинская,false,1399.6880937372007,2,https://5verst.ru/prityazhenie/
Сокольники,"55.795796","37.676988",Москва,Москва,false,6.196918918892107,0,https://5verst.ru/sokolniki/
Реадовский парк,"54.763024","32.02648",Смоленск,Смоленская,false,371.9255314296379,0,https://5verst.ru/readovskypark/
Московский парк Победы,"59.868919","30.322104",Санкт-Петербург,Санкт-Петербург,false,630.3312652398045,0,https://5verst.ru/moskovskyparkpobedy/
Набережная Реки Великой,"57.816223","28.33053",Псков,Псковская,false,611.6794707872515,0,https://5verst.ru/naberezhnayarekivelikoy/
Павловский Посад,"55.783709","38.682715",Павловский Посад,Московская,false,67.0697793296047,0,https://5verst.ru/pavlovskyposad/
Кольчугино Городской парк,"56.284617","39.378435",Кольчугино,Владимирская,false,124.8949624082523,0,https://5verst.ru/kolchuginocitypark/
Красноярск набережная,"56.00651","92.871575",Красноярск,Красноярский,false,3364.6256893508366,4,https://5verst.ru/krasnoyarsknaberezhnaya/
Петровская набережная,"46.356084","48.033209",Астрахань,Астраханская,false,1272.247358945843,1,https://5verst.ru/petrovskayanaberezhnaya/
Котельники Кузьминский,"55.663255","37.847166",Котельники,Московская,false,17.605922315878125,0,https://5verst.ru/kuzminsky/
